,Platform,Category,Title,DirectorName,DirectorGender,DirectorAge,Actors,ActorGender,ActorAge,Country,DateAdded,ReleaseYear,Rating,Duration,GenreType,Description
5498,Netflix,Movie,The World's Most Wanted Animal,Chia Tang,M,48,Jennifer Aniston,F,51,United Kingdom,1-Apr-19,2018,TV-PG,53 min,Documentaries,"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction."
3440,Netflix,Movie,Baazaar,Maryo J. De los Reyes,M,100,Gerard Butler,M,50,India,13-Jan-19,2018,TV-14,136 min,"Dramas, International Movies","A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
3071,Netflix,Movie,Race to Witch Mountain,Vlad Yudin,M,37,Jason Sudeikis,M,44,United States,1-Jul-19,2009,TV-PG,99 min,Children & Family Movies,A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.
3148,Netflix,Movie,Lal Patthar,Justin Chon,M,38,Jeff Garlin,M,57,India,1-Jul-17,1971,TV-PG,153 min,"Classic Movies, Dramas, International Movies","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman."
998,Netflix,Movie,Triumph of the Heart,Brian Levant,M,67,Ritchie Coster,M,52,United States,1-Oct-11,1991,TV-PG,93 min,"Dramas, Sports Movies","This drama tells the tale of Ricky Bell, a pro running back with the Tampa Bay Buccaneers who died of a muscle disease in the prime of his career."
3587,Netflix,Movie,The Original Kings of Comedy,Pang Ho-cheung,M,46,Cathy Moriarty,F,59,United States,1-Jan-20,2000,R,111 min,Stand-Up Comedy,"Director Spike Lee documents the last night of the hit comedy tour featuring comics Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac."
759,Netflix,Movie,El Camino: A Breaking Bad Movie,Nabil Ayouch,M,51,Peter Greene,M,54,United States,11-Oct-19,2019,TV-MA,123 min,"Dramas, Thrillers","Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul."
4150,Netflix,Movie,Reggie Watts: Spatial,Olivia Milch,F,31,Joel Marsh Garland,M,45,United States,6-Dec-16,2016,TV-MA,62 min,"Music & Musicals, Stand-Up Comedy","The comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures."
1231,Netflix,Movie,The Pixar Story,Luke Sparke,M,38,Siobhan Fallon Hogan,F,58,United States,18-Nov-18,2007,TV-G,89 min,Documentaries,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
1128,Netflix,Movie,Charlotte's Web,Martin Hodara,M,52,Dorian Missick,M,44,United States,23-Nov-19,1973,TV-G,94 min,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story."
2382,Netflix,Movie,Taal,Edward Cotterill,M,42,Adam Rose,M,40,India,1-Mar-18,1999,TV-PG,177 min,"Dramas, International Movies, Music & Musicals","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in."
875,Netflix,Movie,Kevin Hart: Seriously Funny,J.M. Berrios,M,37,Christine Baranski,F,68,United States,1-Oct-18,2010,TV-MA,67 min,Stand-Up Comedy,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance."
3409,Netflix,Movie,Phir Se,David R. Ellis,M,100,Carol Kane,F,67,India,15-Jan-18,2015,TV-14,118 min,"International Movies, Romantic Movies","The paths of a man and a woman, who have both been recently divorced from their spouses, intersect at an art exhibition in London."
1074,Netflix,Movie,Takers,Roger Spottiswoode,M,75,Adam LeFevre,M,69,United States,3-Nov-19,2010,PG-13,107 min,Action & Adventure,A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.
101,Netflix,Movie,Deliha 2,Farah Khan,F,55,Greg Kinnear,M,56,Turkey,27-Sep-19,2018,TV-PG,102 min,"Comedies, International Movies","While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways."
7,Netflix,Movie,Automata,Ofir Raul Graizer,M,38,Lauren Graham,F,53,"Bulgaria, United States, Spain, Canada",8-Sep-17,2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
2460,Netflix,Movie,Freezer's Campaign,Scott Cooper,M,50,Dermot Mulroney,M,56,Egypt,6-Jun-19,2016,TV-MA,116 min,"Comedies, International Movies","When climate change makes Egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost."
906,Netflix,Movie,Sat Shri Akaal England,Scott L. Montoya,M,57,Alan Alda,M,84,India,1-Oct-18,2017,TV-14,127 min,"Comedies, Dramas, International Movies","After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England."
3126,Netflix,Movie,Traitor,Gary Wang,M,46,Bill Smitrovich,M,72,United States,1-Jul-18,2008,PG-13,114 min,"Dramas, Thrillers",An FBI agent assigned to pursue an ex-Special Ops soldier who joined a terrorist organization begins to question his target's true intentions.
4991,Netflix,Movie,The Young Vagabond,Buddhadev Dasgupta,M,76,Mitch Pileggi,M,68,Hong Kong,16-Aug-18,1985,TV-14,85 min,"Action & Adventure, Comedies, International Movies","To avenge his master, a wine-loving young man steps up his fighting skills to defeat a powerful thief in a life-or-death match."
5564,Netflix,Movie,Lavender,Colin Dench,M,44,Daniel Roebuck,M,57,"Canada, United States",1-Apr-17,2016,Not Rated,93 min,"Dramas, International Movies, Thrillers","After discovering old fractures in her skull, a photographer recovering from amnesia becomes increasingly haunted by a sinister childhood secret."
5486,Netflix,Movie,Pinky Memsaab,Stefan Brogren,M,48,Tim Kelleher,M,60,"Pakistan, United Arab Emirates",1-Apr-19,2018,TV-14,124 min,"Dramas, Independent Movies, International Movies","When a guileless young woman becomes the domestic worker in a wealthy Dubai household, her bond with her posh employer changes both of their lives."
499,Netflix,Movie,Little Miss Sumo,Victoria Bromley,F,36,Aaron Abrams,M,41,United Kingdom,28-Oct-19,2018,TV-G,20 min,"Documentaries, International Movies, Sports Movies","In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japaní_í_Œés national pastime."
5098,Netflix,Movie,Kung Fu Magoo,Gauravv K Chawla,M,40,Chuck Shamata,M,78,"Mexico, United States",1-Aug-18,2010,TV-Y7,79 min,"Children & Family Movies, Comedies","Shortsighted curmudgeon Mr. Magoo and his young nephew, Justin, fight such nefarious foes as kung fu villains, robot spiders and teenage mutants."
2121,Netflix,Movie,Contract,Andy Fickman,M,49,Andrew Gillies,M,82,India,2-Mar-19,2008,TV-MA,116 min,"Action & Adventure, Dramas, Independent Movies","Following the death of his wife and daughter in a terrorist attack, an ex-Indian army commando agrees to infiltrate a terrorist cell."
4913,Netflix,Movie,Fitoor,Sushil Majumdar,M,100,Mora Arenillas,F,24,India,2-Aug-18,2016,TV-14,124 min,"Dramas, International Movies, Romantic Movies",A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
2224,Netflix,Movie,Sunrise,Richard Michaels,M,84,Mara Bestelli,F,41,"India, France",15-Mar-17,2014,TV-MA,85 min,"Dramas, Independent Movies, International Movies","While investigating a child kidnapping, a Mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter."
3220,Netflix,Movie,Rampage: President Down,Spike Lee,M,63,Diego Cremonesi,M,43,Canada,5-Jan-17,2016,TV-MA,100 min,"Action & Adventure, International Movies","Lone-wolf vigilante Bill Williamson is back, taking aim at the U.S. government and eluding the pursuit of two FBI agents who are on his trail."
959,Netflix,Movie,The Free Man,Vince Gilligan,M,53,Robert De Niro,M,76,New Zealand,1-Oct-17,2016,TV-PG,84 min,"Documentaries, Sports Movies",Olympic freestyle skier Jossi Wells learns the dangerous extreme sport of highlining with help from death-defying daredevils the Flying Frenchies.
584,Netflix,Movie,Wyatt Cenac: Brooklyn,Benjamin Dickinson,M,40,Harvey Keitel,M,80,United States,21-Oct-14,2014,TV-MA,68 min,Stand-Up Comedy,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.
2292,Netflix,Movie,Vizontele Tuuba,Leslie Iwerks,F,50,David Proval,M,77,Turkey,10-Mar-17,2004,Not Rated,106 min,"Comedies, Dramas, International Movies","With civil war looming, a TV-obsessed Turkish town is bemused when a bureaucrat and his daughter arrive to modernize their library."
1465,Netflix,Movie,Heroine,Charles A. Nichols,M,100,Amy Robinson,F,72,India,1-Nov-18,2012,TV-MA,143 min,"Dramas, International Movies",One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.
4185,Netflix,Movie,Bobby,Iwao Takamoto,M,100,Richard Romanus,M,75,India,31-Dec-19,1973,TV-14,168 min,"Classic Movies, Dramas, International Movies","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman í_í_Å‹ a romance his parents oppose."
758,Netflix,Movie,Bygones Be Bygones,Subhash Ghai,M,75,Cesare Danova,M,100,Turkey,11-Oct-19,2017,TV-MA,104 min,"Comedies, International Movies, Romantic Movies",A mother's plan to find her bachelor son a match derails when a new prospect turns up and sinister schemes unfold.
3641,Netflix,Movie,Aajcha Divas Majha,Shannon Hartman,F,45,Victor Argo,M,100,India,1-Jan-18,2013,TV-PG,126 min,"Comedies, Dramas, International Movies",A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.
4210,Netflix,Movie,Khubsoorat,Ajay Bhuyan,M,35,George Memmoli,M,100,India,31-Dec-19,1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas",A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.
2984,Netflix,Movie,Colonia,Kunal Kohli,M,49,Prakash Bare,M,67,"Germany, France, Luxembourg, United Kingdom, United States",14-Jul-18,2015,R,110 min,"Dramas, Independent Movies, International Movies","When her boyfriend is caught up in a Chilean coup, a young woman tries to free him from a prison camp posing as a commune by joining it voluntarily."
991,Netflix,Movie,Adam: His Song Continues,John Luessenhop,M,39,Arun Kumar,M,43,United States,1-Oct-11,1986,Not Rated,96 min,Dramas,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children."
4355,Netflix,Movie,Jarhead: Law of Return,Gupse äó»_zay,F,35,Kulappulli Leela,F,66,"Israel, United States",25-Dec-19,2019,R,103 min,"Action & Adventure, Dramas","When a U.S. senatorí_í_Œés son is held captive by Hezbollah militiamen, a group of highly trained soldiers ventures into enemy territory to bring him home."
746,Netflix,Movie,Errementari: The Blacksmith and the Devil,Gabe Ibäó»Å_äó»Œ±ez,M,48,Sangeetha Mohan,F,60,"Spain, France",12-Oct-18,2018,TV-MA,99 min,"Horror Movies, International Movies, Sci-Fi & Fantasy","A brutal blacksmith tortures a demon he blames for his misery, unaware a trespassing orphan is about to change everything. Based on Basque folklore."
3674,Netflix,Movie,Monster High: Why Do Ghouls Fall in Love?,Sameh Abdulaziz,M,43,Kochu Preman,M,64,United States,1-Jan-18,2013,TV-Y7,46 min,Children & Family Movies,Draculaura's ghoulfriends have some suspicions about one of her two persistent suitors í_í_Å‹ but can they stop him before he steals her un-beating heart?
5360,Netflix,Movie,Music Teacher,Vikram Pradhan,M,45,Kathryn Bernardo,F,24,India,19-Apr-19,2019,TV-14,102 min,"Dramas, Independent Movies, International Movies",A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.
3548,Netflix,Movie,Pan's Labyrinth,Jeffrey Nachmanoff,M,53,Daniel Padilla,M,25,"Mexico, Spain",1-Jan-20,2006,R,119 min,"Dramas, International Movies, Sci-Fi & Fantasy",Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.
4446,Netflix,Movie,The Women's Balcony,Sze Yu Lau,M,65,Lorna Tolentino,F,58,Israel,19-Dec-17,2016,TV-PG,100 min,"Comedies, Dramas, Faith & Spirituality","A conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation."
2968,Netflix,Movie,Tahaan,Ed Gass-Donnelly,M,42,Gabby Concepcion,M,55,India,15-Jul-18,2008,TV-14,95 min,"Dramas, International Movies","After his family's donkey is confiscated by a moneylender, 8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet."
2958,Netflix,Movie,A Glimpse Inside the Mind of Charles Swan III,Shazia Ali Khan,F,36,Inigo Pascual,M,22,United States,15-Jul-18,2012,R,86 min,"Comedies, Independent Movies","When his girlfriend walks out and leaves him a wreck, a graphic designer í_í_Å‹ who seemed to have it all í_í_Å‹ sets out to discover where he went wrong."
530,Netflix,Movie,Dolemite Is My Name,Matt Kay,M,35,Max Martini,M,50,United States,25-Oct-19,2019,R,118 min,"Comedies, Dramas","In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen."
1929,Netflix,Movie,The Outsider,Andräó»Œ©s Couturier,M,43,Omari Hardwick,M,46,United States,9-Mar-18,2018,TV-MA,121 min,"Dramas, Thrillers","An American soldier imprisoned in postwar Japan enters the dark world of the yakuza, adopting their way of life in repayment for his freedom."
1314,Netflix,Movie,Chelsea Peretti: One of the Greats,Ram Gopal Varma,M,58,Lily Rabe,F,37,United States,14-Nov-14,2014,Not Rated,75 min,Stand-Up Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special."
4545,Netflix,Movie,Muramba,Abhishek Kapoor,M,48,Kevin Hart,M,40,India,15-Dec-17,2017,TV-14,128 min,"Comedies, Dramas, International Movies",A young man and his parents ponder the reasons behind the recent breakdown of a relationship he was in í_í_Å‹ and the possibility of reconciliation.
3389,Netflix,Movie,Deadly Switch,Partho Sen-Gupta,M,54,Robert Patrick,M,61,United States,15-Jan-19,2019,TV-PG,86 min,"Independent Movies, Thrillers","In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
2726,Netflix,Movie,Pedal the World,Uwe Boll,M,54,Dermot Mulroney,M,56,Germany,1-Jun-18,2015,TV-MA,85 min,"Documentaries, International Movies, Sports Movies","Over the course of one memorable and adventure-filled year, Felix Starck documents his 18,000-kilometer bicycle journey across 22 countries."
2539,Netflix,Movie,Neruda,Toa Fraser,M,45,Gary Sinise,M,65,"Chile, Argentina, France, Spain, United States",26-Jun-17,2016,R,108 min,"Dramas, International Movies","When a Chilean policeman vows to find and capture leftist poet Pablo Neruda, a game of cat and mouse ensues that tests both their wills."
1417,Netflix,Movie,The Game,Wyatt Cenac,M,44,JoBeth Williams,F,71,United States,1-Nov-19,1997,R,129 min,Thrillers,"Nicholas receives an unusual birthday present from his brother, Conrad í_í_Å‹ a gift certificate to play a unique kind of game formulated by ""CRS."""
889,Netflix,Movie,Muran,Sunil Soraya,M,46,Luis Bordonada,M,52,India,1-Oct-18,2011,TV-14,134 min,"Action & Adventure, International Movies","When jingle composer Nanda's car breaks down on his way to Chennai, he hitchhikes there with Arjun, who tries to rope Nanda into a shady deal."
4895,Netflix,Movie,Gangs of New York,Madhur Bhandarkar,M,51,Leo Martini,M,40,"United States, Italy",20-Aug-19,2002,R,167 min,Dramas,"In the crime-ridden slums of New York in the 1860s, vengeful orphan Amsterdam Vallon joins the cutthroat gang of his father's killer, Bill the Butcher."
5402,Netflix,Movie,Ek Khiladi Ek Haseena,Raj Kapoor,M,100,Saara Chaudry,F,15,India,15-Apr-19,2005,TV-MA,141 min,"International Movies, Music & Musicals, Thrillers","Indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it's soon clear that no one can be trusted."
2704,Netflix,Movie,Love Is a Story,Hakan Algäó»_l,M,54,Soma Chhaya,F,21,Romania,1-Jun-19,2015,TV-MA,105 min,"International Movies, Romantic Movies","Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."
4701,Netflix,Movie,1000 Rupee Note,Chandrakant Kulkarni,M,57,Ali Badshah,M,42,India,1-Dec-16,2014,Not Rated,89 min,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
1830,Netflix,Movie,Sur Sapata,Hrishikesh Mukherjee,M,100,Soma Bhatia,F,21,India,1-May-19,2019,TV-14,140 min,"Comedies, Dramas, International Movies",A group of small-town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school's championship victory.
2663,Netflix,Movie,Murder Mystery,Florian Gallenberger,M,48,Shaista Latif,F,24,United States,14-Jun-19,2019,PG-13,98 min,Comedies,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht."
1179,Netflix,Movie,"Love, Rosie",Robert Markowitz,M,85,Laara Sadiq,F,51,"Germany, United Kingdom",20-Nov-19,2014,R,103 min,"Comedies, International Movies, Romantic Movies","Over the years, as they come and go in each other's life, childhood pals Rosie and Alex struggle to resolve the lasting, intimate bond between them."
2895,Netflix,Movie,The Midas Touch,Don Michael Paul,M,57,Kawa Ada,M,37,Hong Kong,21-Jul-19,2013,TV-14,98 min,"Comedies, International Movies","A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head."
5048,Netflix,Movie,The Guernsey Literary and Potato Peel Pie Society,Paul Urkijo Alijo,M,35,Noorin Gulamgaus,M,22,"United Kingdom, France, United States",10-Aug-18,2018,TV-14,124 min,"Dramas, Romantic Movies",A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.
3197,Netflix,Movie,The Tourist,Dustin McKenzie,M,40,David Attenborough,M,93,"United States, France, Italy, United Kingdom",7-Jan-20,2010,PG-13,103 min,"Action & Adventure, Romantic Movies",An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.
1599,Netflix,Movie,No Estoy Loca,Steve Sacks,M,67,Jack Black,M,50,Chile,4-May-18,2018,TV-MA,116 min,"Comedies, Dramas, International Movies",A woman enters a quirky mental health clinic after attempting suicide upon finding out her husband is having an affair with her best friend.
797,Netflix,Movie,First Kiss,Sarthak Dasgupta,M,52,James Marsden,M,46,Netherlands,1-Oct-19,2018,TV-PG,90 min,"Dramas, International Movies, Romantic Movies",A starry-eyed employee of a hot cosmetics company hires a dreamy photographer who is secretly indebted to a major rival í_í_Å‹ her sketchy aunt.
2272,Netflix,Movie,Hokkabaz,Guillermo del Toro,M,55,Kathryn Hahn,F,46,Turkey,10-Mar-17,2006,TV-MA,118 min,"Comedies, Dramas, International Movies","Trying to resurrect his career, not-so-talented magician Iskender goes on tour, but things get iffy when one of his illusions works a little too well."
1743,Netflix,Movie,7 Din Mohabbat In,Emil Ben-Shimon,M,44,Jeffrey Tambor,M,75,Pakistan,15-May-19,2018,TV-PG,137 min,"Comedies, International Movies, Music & Musicals","Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife."
1365,Netflix,Movie,Euphoria,Santosh Sivan,M,56,Russell Posner,M,16,Italy,1-Nov-19,2018,R,110 min,"Dramas, International Movies, LGBTQ Movies","An entrepreneur prone to partying and his estranged brother, a teacher resigned to a humdrum life, begin to bond under fragile circumstances."
2734,Netflix,Movie,Devil's Bride,Roman Coppola,M,55,Henry Zebrowski,M,36,"Finland, Sweden, Norway, Latvia, Germany",1-Jun-17,2016,TV-MA,108 min,"Dramas, International Movies","On a small Finnish island in 1666, a teenage girl in love with a married fisherman becomes the center of a tragic witch hunt and power struggle."
2816,Netflix,Movie,Loco Love,Craig Brewer,M,48,Kyle Bornheimer,M,44,Mexico,30-Jul-17,2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies",A young man and woman fall in love but are threatened to be torn apart by the tensions between their Latino and Caucasian communities in Arizona.
4083,Netflix,Movie,Zapped,Martin Zandvliet,M,49,Mike White,M,49,"Canada, United States",1-Feb-17,2014,TV-G,92 min,"Children & Family Movies, Comedies",A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.
3731,Netflix,Movie,Power Rangers Super Megaforce: The Legendary Battle (Extended),Lance Bangs,M,47,Amr Saad,M,48,United States,1-Jan-16,2014,TV-Y7,55 min,Movies,"New footage augments the tale of the Rangers, who give their all to save Earth from Vrak and Emperor Mavro, as the Armada stages an epic final attack."
5125,Netflix,Movie,All Hallows' Eve,Varun Narvekar,M,39,Ilham Shaheen,F,59,United States,1-Aug-17,2016,TV-G,92 min,"Children & Family Movies, Independent Movies","Instead of summoning the spirit of her dearly departed mother, a charming teen accidentally awakens a vengeful witch who wants to destroy her town."
3243,Netflix,Movie,The Incredibles 2,Svetlana Cvetko,F,54,Rania Yousef,F,46,United States,30-Jan-19,2018,TV-PG,118 min,"Children & Family Movies, Comedies","When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting."
3203,Netflix,Movie,House of Z,Felix Starck,M,40,Mai Fuchigami,F,32,"United States, Canada",6-Jan-18,2016,TV-14,88 min,Documentaries,"Featuring archival footage and exclusive interviews, this documentary looks at the rise, fall and comeback of charismatic fashion designer Zac Posen."
4304,Netflix,Movie,Rezeta,David Fincher,M,57,Ai Kayano,F,32,Mexico,3-Dec-16,2012,Not Rated,84 min,"Dramas, Independent Movies, International Movies","Gorgeous and free-spirited Albanian model Rezeta arrives in Mexico City, and soon uses her charms to take up a carefree new life in the metropolis."
4087,Netflix,Movie,It Comes at Night,David Fincher,M,57,Mami Ozaki,F,38,United States,9-Dec-19,2017,R,92 min,"Horror Movies, Independent Movies","As danger stalks the world outside his isolated home, an overprotective father faces a tough decision when another family shows up seeking help."
3167,Netflix,Movie,Zipi & Zape y la Isla del Capitan,Rajan Madhav,M,44,Ikumi Nakagami,F,33,Spain,1-Jul-17,2016,TV-PG,105 min,"Children & Family Movies, Comedies","At Christmas, Zip and Zap take a trip with their parents to a remote island, where a friendly woman runs a children's home and mystery awaits."
4842,Netflix,Movie,One Last Thing,Martin Scorsese,M,77,Yuka Iguchi,F,31,United States,25-Aug-19,2018,TV-MA,92 min,Dramas,"After 25 years of searching, a lonely dentist finds his long-lost daughter but learns that she suffers from a rare medical condition."
5441,Netflix,Movie,Who Would You Take to a Deserted Island?,Suparn Verma,M,45,Misato Fukuen,F,38,Spain,13-Apr-19,2019,TV-MA,94 min,"Dramas, International Movies","On their last night together, four longtime flatmates' lives are suddenly upended when a secret is revealed during the course of an evening celebration."
2508,Netflix,Movie,Penalty Kick,Cristina Jacob,M,38,Mikako Takahashi,F,39,"Colombia, Mexico",29-Jun-18,2018,TV-14,89 min,"Comedies, Dramas, International Movies","Convinced Mexico will lose the World Cup qualifier without him, a soccer superfan faces an impossible choice when family obligations stand in his way."
4805,Netflix,Movie,Mi amigo Alexis,Shrihari Sathe,M,48,Kana Ueda,F,39,Chile,30-Aug-19,2019,TV-PG,102 min,"Children & Family Movies, Comedies, Dramas","When a young soccer fan and his idol forge an unexpected friendship, the connection teaches them both lessons about life and their love of the game."
135,Netflix,Movie,Iliza Shlesinger: Confirmed Kills,Mangesh Kanthale,M,58,Mika Kikuchi,F,36,United States,23-Sep-16,2016,TV-MA,78 min,Stand-Up Comedy,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
4890,Netflix,Movie,Bad Rap,Kyle Newacheck,M,36,Maya Yoshioka,F,30,"United States, Canada",21-Aug-17,2016,TV-MA,83 min,"Documentaries, Music & Musicals",Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.
978,Netflix,Movie,My Big Night,Christian Ditter,M,43,Jennylyn Mercado,F,32,Spain,1-Oct-16,2015,TV-MA,97 min,"Comedies, International Movies",An unemployed man gets a job as an extra at the shooting of a New Year's Eve TV special that's beset by crises and seems to go on forever.
1635,Netflix,Movie,Rangoon,Chi Keung Fung,M,46,Derek Ramsay,M,43,India,29-May-17,2017,TV-14,153 min,"Action & Adventure, Dramas, International Movies","During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit."
3494,Netflix,Movie,Charlie and the Chocolate Factory,Mike Newell,M,78,Yayo Aguila,F,52,"United Kingdom, United States",1-Jan-20,2005,TV-PG,115 min,"Children & Family Movies, Comedies",The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.
5299,Netflix,Movie,Goosebumps 2: Haunted Halloween,Florian Henckel von Donnersmarck,M,47,Kean Cipriano,M,32,"United States, United Kingdom",25-Apr-19,2018,TV-PG,90 min,"Children & Family Movies, Comedies","Three teens spend their Halloween trying to stop a magical book, which brings characters from the ""Goosebumps"" novels to life."
1392,Netflix,Movie,Mad Money,Vijay Kumar,M,58,Nico Antonio,M,36,United States,1-Nov-19,2008,PG-13,99 min,Comedies,A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.
3001,Netflix,Movie,Tom Segura: Completely Normal,Roy Poortmans,M,42,Enzo Marcos,M,29,United States,13-Jul-17,2014,TV-MA,74 min,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.
172,Netflix,Movie,Bitcoin Heist,Valeria Golino,F,54,Via Antonio,F,36,Vietnam,2-Sep-17,2016,TV-14,116 min,"Action & Adventure, Comedies, International Movies","A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."""
2260,Netflix,Movie,Burning Sands,Saara Cantell,F,45,Hannah Ladesma,F,25,United States,10-Mar-17,2017,TV-MA,102 min,"Dramas, Independent Movies",Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.
1897,Netflix,Movie,In the Shadow of Iris,Meenu Gaur,F,34,Will Smith,M,51,"France, Belgium",1-May-17,2016,TV-MA,99 min,"Dramas, International Movies, Thrillers","The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions."
4912,Netflix,Movie,Fashion,Farjad Nabi,M,51,Jaden Smith,M,21,India,2-Aug-18,2008,TV-MA,158 min,"Dramas, International Movies",A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
4997,Netflix,Movie,Adventures in Public School,Valeria Golino,F,54,Thandie Newton,F,47,"Canada, United States",15-Aug-18,2018,Not Rated,86 min,Comedies,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go."
2617,Netflix,Movie,Bob Lazar: Area 51 & Flying Saucers,Saara Cantell,F,45,Brian Howe,M,66,United States,18-Jun-19,2018,TV-MA,97 min,Documentaries,"Decades ago, Bob Lazar blew the whistle on Area 51. Now heí_í_Œés back to explain the alien tech he worked with, and the government's war to shut him up."
2453,Netflix,Movie,A Perfect Man,Peter DeLuise,M,53,James Karen,M,100,United States,6-Jun-19,2013,R,94 min,"Dramas, Independent Movies, Romantic Movies","Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman."
773,Netflix,Movie,Tales From the Hood 2,Olivier Roland,M,43,Dan Castellaneta,M,62,United States,10-Oct-18,2018,R,110 min,"Cult Movies, Horror Movies, Independent Movies",Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.
